ID,xicStart,xicEnd,feature,corrMax,ionCount,chargeOrder,maxIsotopeCount,rt,mwMonoisotopic,theo_mwMonoisotopic,inferredStructure,maxIntensity
892,12.6506833333333,13.57885,892,0.999791770368857,3,1,2,12.9440463058015,432.197008201199,,,19411
893,13.57885,29.4609033333333,893,0.967128597771015,1051,1,2,23.264231343695,683.196397849636,,,10236
894,13.9985183333333,29.40233,894,0.999055937348484,1149,1,2,22.9456579581237,393.338853904324,,,6166
895,14.3473483333333,14.4993833333333,895,0.905595814528753,4,4;3,5,14.4085829860275,3651.52654013094,,,16910
896,14.3473483333333,14.8336716666667,896,0.9699391406344,5,2,3,14.6894171347389,1958.84897245709,,,12114
897,13.7876833333333,14.7295033333333,897,0.993448205035109,4,1,2,14.383594789789,393.223650046902,,,6360
898,13.7876833333333,14.3473483333333,898,0.902813757097112,4,3,4,14.0397885856603,1767.8166105411,,,5147
899,13.9985183333333,29.6587233333333,899,0.994015361535383,3157,1,2,23.6084131803031,412.25883681448,,,26855
900,13.9985183333333,15.2603383333333,900,0.999999977019553,7,1,2,14.0340187303081,414.246721335964,,,593820
901,14.1557266666667,29.9326616666667,901,0.999908454075305,2880,1,2,24.5181101521268,398.170396873074,,,19123
902,13.57885,17.9045016666667,902,0.999635165282156,144,1,2,16.6632050261984,463.135576316433,,,5067
903,14.3473483333333,29.35333,903,0.97826505067652,976,1,2,23.0116475732612,666.170213767605,,,9293
904,14.3473483333333,29.2283283333333,904,0.999960470923597,1182,1,2,23.4319675589409,608.463182517605,,,6614
905,14.4993833333333,14.8336716666667,905,0.993684497291925,5,2,3,14.7208285120884,1162.62375273052,,,15569
906,13.9985183333333,15.0208366666667,906,0.99759397102866,5,1,2,14.7003712542164,426.370958396511,,,3657
907,14.4993833333333,14.8336716666667,907,0.999531491135626,5,1,2,14.7139388574832,515.294298240261,,,40770
908,14.6564383333333,14.8025033333333,908,0.99998991872698,3,1,2,14.7293217307454,498.267778464871,,,30348
909,14.7295033333333,15.3213283333333,909,0.907976441310531,5,3,5,14.9575295514541,2882.25029501375,,,11058
910,14.8025033333333,15.0208366666667,910,0.997348441320376,3,2,3,14.8761115634675,1117.4926492149,,,5450
912,14.8025033333333,15.07174,912,0.988796594908325,5,1,2,14.9185568626217,535.320055076199,,,10193
913,14.7295033333333,30.177,913,0.999974753241198,2912,1,2,24.5245786462985,384.285295554714,,,40351
914,14.7295033333333,15.07174,914,0.998582286599095,4,1,2,14.9880417474813,522.280687400418,,,25051
915,14.948005,15.07174,915,0.999650399220766,3,1,2,15.005304479461,410.081224509792,,,13661
916,14.948005,15.07174,916,0.998960878062788,3,1,2,15.0013068044823,592.321641990261,,,5401
917,14.948005,15.07174,917,0.912586719729249,3,2,3,15.0061030696669,1758.86426093365,,,3978
918,14.4993833333333,15.311515,918,0.999908685554207,5,1,2,15.0038798349408,578.117174216824,,,3325
919,14.948005,15.07174,919,0.999464935230678,3,1,2,14.9927314364492,590.233812400418,,,585687
920,14.948005,15.2603383333333,920,0.999987698654716,4,1,2,14.9585370457234,458.272539207058,,,374777
921,15.0208366666667,17.3236633333333,921,0.999311594101462,126,1,2,16.4541195632065,470.31010634573,,,7967
922,15.07174,15.4030116666667,922,0.999597058044627,6,1,2,15.3143138446139,750.35942275198,,,12779
923,15.2603383333333,15.674005,923,0.998601466953751,10,1,2,15.5110908561321,685.195116111355,,,3423
924,15.3521716666667,15.476005,924,0.973363390929458,3,2,3,15.4075409337509,995.136020796929,,,4444
925,15.3213283333333,15.4030116666667,925,0.994199121355405,4,2;3,4,15.3565177636535,2026.87695624615,,,5260
926,15.1660033333333,15.6253816666667,926,0.996843219915372,8,1,2,15.448248886422,393.870592185574,,,3450
927,15.1660033333333,15.3213283333333,927,0.997547279507417,4,1,2,15.2676678698847,788.345201560574,,,23610
928,15.2603383333333,15.3521716666667,928,0.998749852468261,4,1,2,15.3043254612646,459.231615134793,,,17877
929,15.1660033333333,15.3213283333333,929,0.996330270286461,8,2;1,2,15.2687997294807,991.424547263699,,,91693
930,15.1660033333333,15.4850416666667,930,0.99495081757257,5,2,3,15.3777035643044,1095.47055448834,,,19114
931,15.311515,15.3521716666667,931,0.999473061674876,3,1,2,15.3263388275194,466.253648826199,,,7332
932,15.1660033333333,15.311515,932,0.999989820086309,3,1,2,15.2666703963668,428.208726951199,,,7386
933,15.07174,15.5678366666667,933,0.975636644725197,7,1,2,15.3749095686439,538.151505662136,,,1962
934,14.948005,15.476005,934,0.999999855978493,7,1,2,14.9650999806884,475.298967429714,,,647408
935,14.948005,15.2603383333333,935,0.999468464575369,3,1,2,15.0119387835708,386.172929832058,,,75607
936,15.0208366666667,15.07174,936,0.988070862408147,3,2;3,4,15.0622763219229,2074.89685370708,,,8094
937,15.07174,17.30368,937,0.995076804027235,115,1,2,16.3620658705611,691.069688865261,,,12447
938,15.311515,16.098995,938,0.987166544735423,34,2;1,3,15.6358230424793,1037.15842069927,,,39101
939,14.8025033333333,15.586,939,0.999737494542713,7,1,2,15.3128587356443,448.106065818386,,,2489
940,15.2603383333333,15.4030116666667,940,0.978292132481717,3,1,2,15.3204347626643,466.094316550808,,,2549
941,14.4993833333333,16.573515,941,0.998605423967563,35,1,2,15.8933292695239,376.260881492214,,,3089
942,14.948005,15.0208366666667,942,0.998806972253875,3,1,2,14.9692827198627,524.22368056448,,,3600
943,15.07174,15.311515,943,0.999026786429487,4,1,2,15.1943898113799,594.411607810574,,,2494
944,15.2603383333333,15.4030116666667,944,0.992580211295414,4,1,2,15.3384239175994,376.893388816433,,,2472
945,15.3521716666667,15.5163383333333,945,0.988238473615702,7,2;3,3,15.4197036738331,1914.82260526959,,,71738
946,15.4030116666667,15.4850416666667,946,0.951509035597323,3,3,4,15.4487753314056,2070.90267011141,,,4734
947,15.476005,15.595495,947,0.997076935295993,9,2,3,15.5409892962225,1240.58163847271,,,22873
948,15.4850416666667,15.644185,948,0.999361667121422,11,1,2,15.5877010213037,542.293870994167,,,20063
949,15.311515,16.248495,949,0.997249844775128,24,1,2,15.788982340936,435.871812888699,,,4579
950,15.4850416666667,15.595495,950,0.999385289128765,6,2,3,15.5368835542862,1470.7465554649,,,3179
951,15.3521716666667,15.595495,951,0.993705246694647,7,1,3,15.5158372838967,521.123368455105,,,2091
952,15.476005,15.586,952,0.998404403293855,8,1,2,15.5111173969713,529.290147849636,,,26260
953,15.476005,15.674005,953,0.999876954168488,13,1,2,15.5828129540864,559.320604392605,,,30535
954,15.476005,16.4005116666667,954,0.994246480451301,25,1,2,15.983589159636,668.167345115261,,,3792
955,15.476005,16.4306933333333,955,0.997065984945737,34,1,2,15.9538859955009,416.025896140652,,,2625
956,15.4850416666667,15.674005,956,0.960485907479625,23,3;2,5,15.5793422572531,2162.05162558016,,,8523
957,15.4850416666667,16.0893283333333,957,0.977549614432302,14,2,2,15.7578283668759,980.115635054741,,,2557
958,15.526495,15.733495,958,0.999871357541696,10,1,2,15.5876261659658,489.278673240261,,,60247
959,15.5163383333333,15.692885,959,0.993801449700899,7,1,2,15.5905179323843,886.110521384792,,,5244
960,15.526495,15.595495,960,0.993863177207889,4,2,3,15.5590288103233,1047.45016874615,,,3534
962,15.526495,15.644185,962,0.999551899609992,9,1,2,15.5862450330571,472.251848289089,,,24043
963,15.526495,15.865005,963,0.997280466161259,9,1,2,15.6773049136926,594.411485740261,,,2493
964,15.5678366666667,15.644185,964,0.99827999152649,4,1,2,15.5961874905695,494.23393447073,,,6973
965,15.5678366666667,15.644185,965,0.995349459541117,6,1,2,15.6065260462194,492.292406150418,,,5952
966,15.5678366666667,15.6353333333333,966,0.995499788431948,5,1,2,15.5865615626499,456.331255027371,,,7367
967,15.5678366666667,15.595495,967,0.9971278534337,4,1,2,15.5826744476951,564.275621482449,,,6498
968,15.5678366666667,16.3083283333333,968,0.999638546742284,26,1,2,16.0039186076022,578.116563865261,,,3576
969,15.5678366666667,15.644185,969,0.978355859204184,7,2,3,15.6041461847471,1175.53439726177,,,4861
970,15.4850416666667,17.30368,970,0.982760112629932,104,2,3,16.5797564579369,1342.20016874615,,,13065
971,15.4030116666667,15.644185,971,0.998973613863115,5,1,2,15.5443626381076,432.105882712918,,,4029
972,15.5163383333333,16.00867,972,0.932405648877498,17,1,2,15.7730012814146,516.307115623074,,,4051
973,15.5678366666667,16.0793766666667,973,0.996517138771626,12,1,2,15.8043801732826,376.893632957058,,,3002
974,15.595495,15.684,974,0.935526186248856,3,2,3,15.6366838270378,1167.6996804649,,,2373
975,15.6353333333333,15.674005,975,0.99534712697317,3,2,3,15.6509672691103,1970.84985663677,,,2241
976,15.644185,15.692885,976,0.999130511003438,3,1,2,15.6754273088994,445.288652488308,,,3572
977,15.6253816666667,15.792335,977,0.998572398502647,19,1;2,2,15.7221040588593,757.402025291043,,,14012
978,15.5678366666667,15.644185,978,0.991194798273321,3,1,2,15.61027576573,432.324174949246,,,2276
979,15.5678366666667,15.674005,979,0.970828651078593,3,3,3,15.6027701128373,1415.6303617618,,,3193
980,15.6253816666667,15.865005,980,0.999377333088741,13,1,2,15.7038024966206,522.280565330105,,,15556
981,15.6353333333333,15.9248733333333,981,0.999265249662888,12,1,2,15.7206224675709,579.346971580105,,,10935
982,15.674005,15.72367,982,0.999778360084475,4,1,2,15.6911290258449,590.234544822293,,,11422
983,15.674005,15.78367,983,0.998326939448167,6,1,2,15.7178328793771,402.022691794949,,,10160
984,15.6353333333333,16.00867,984,0.926874251119871,7,1,2,15.8148878680095,757.214952537136,,,2443
985,15.674005,15.72367,985,0.998533456337305,4,1,2,15.6937164207425,592.322923728543,,,2654
986,15.684,15.743675,986,0.99997460070888,3,1,2,15.7195177664327,380.181230613308,,,2188
987,15.72367,15.7525316666667,987,0.999937546203273,4,1,2,15.7401011914253,414.229753562527,,,2569
988,15.72367,15.9248733333333,988,0.999916858886467,11,1,2,15.7886935866283,519.325182029324,,,450008
989,15.72367,16.1579966666667,989,0.999912559521806,16,1,2,15.7953405329413,502.298967429714,,,257243
990,15.733495,15.7525316666667,990,0.924360973992683,3,1,2,15.7426911845697,397.150133201199,,,3236
991,15.72367,15.9248733333333,991,0.999431009892693,9,1,2,15.8219520439538,393.87016493948,,,3367
992,15.684,15.743675,992,0.999755652127974,5,1,2,15.7143083987675,526.298631736355,,,3443
993,15.595495,15.9156883333333,993,0.999325024920725,7,1,2,15.8088646566995,399.298173972683,,,2341
994,15.72367,15.865005,994,0.999920908327583,4,1,2,15.7587840287882,533.305162498074,,,3502
995,15.733495,15.865005,995,0.926379542919809,4,1,2,15.7771139615228,740.189073630886,,,3027
